PP04B_COD,Grupo actividades
79.0,Actividades Administrativas y Servicios de Apoyo
7900.0,Actividades Administrativas y Servicios de Apoyo
80.0,Actividades Administrativas y Servicios de Apoyo
800.0,Actividades Administrativas y Servicios de Apoyo
8000.0,Actividades Administrativas y Servicios de Apoyo
81.0,Actividades Administrativas y Servicios de Apoyo
8101.0,Actividades Administrativas y Servicios de Apoyo
8102.0,Actividades Administrativas y Servicios de Apoyo
82.0,Actividades Administrativas y Servicios de Apoyo
8200.0,Actividades Administrativas y Servicios de Apoyo
83.0,Administración Pública y Defensa; Planes de Seguro Social Obligatorio
8300.0,Administración Pública y Defensa; Planes de Seguro Social Obligatorio
84.0,Administración Pública y Defensa; Planes de Seguro Social Obligatorio
8401.0,Administración Pública y Defensa; Planes de Seguro Social Obligatorio
8402.0,Administración Pública y Defensa; Planes de Seguro Social Obligatorio
8403.0,Administración Pública y Defensa; Planes de Seguro Social Obligatorio
85.0,Enseñanza
8501.0,Enseñanza
8509.0,Enseñanza
86.0,Salud Humana y Servicios Sociales
8600.0,Salud Humana y Servicios Sociales
87.0,Salud Humana y Servicios Sociales
8700.0,Salud Humana y Servicios Sociales
88.0,Salud Humana y Servicios Sociales
8800.0,Salud Humana y Servicios Sociales
90.0,"Artes, Entretenimiento y Recreación"
900.0,"Artes, Entretenimiento y Recreación"
9000.0,"Artes, Entretenimiento y Recreación"
91.0,"Artes, Entretenimiento y Recreación"
9100.0,"Artes, Entretenimiento y Recreación"
92.0,"Artes, Entretenimiento y Recreación"
9200.0,"Artes, Entretenimiento y Recreación"
93.0,"Artes, Entretenimiento y Recreación"
9301.0,"Artes, Entretenimiento y Recreación"
9302.0,"Artes, Entretenimiento y Recreación"
94.0,Otras Actividades de Servicios
9401.0,Otras Actividades de Servicios
9402.0,Otras Actividades de Servicios
9409.0,Otras Actividades de Servicios
95.0,Otras Actividades de Servicios
9501.0,Otras Actividades de Servicios
9502.0,Otras Actividades de Servicios
9503.0,Otras Actividades de Servicios
96.0,Otras Actividades de Servicios
9601.0,Otras Actividades de Servicios
9602.0,Otras Actividades de Servicios
9603.0,Otras Actividades de Servicios
9609.0,Otras Actividades de Servicios
97.0,Actividades de los Hogares como Empleadores de Personal Doméstico; Actividades de los Hogares como Productores de Bienes o Servicios para Uso Propio
9700.0,Actividades de los Hogares como Empleadores de Personal Doméstico; Actividades de los Hogares como Productores de Bienes o Servicios para Uso Propio
98.0,Actividades de los Hogares como Empleadores de Personal Doméstico; Actividades de los Hogares como Productores de Bienes o Servicios para Uso Propio
9800.0,Actividades de los Hogares como Empleadores de Personal Doméstico; Actividades de los Hogares como Productores de Bienes o Servicios para Uso Propio
99.0,Actividades de Organizaciones y Organismos Extraterritoriales
9900.0,Actividades de Organizaciones y Organismos Extraterritoriales
9999.0,NS/NC
 ,NS/NC
